Mileage,VO2max,TrainingDays,Age,RaceTime
69.12249882895485,76.21569198517456,58.27466576766006,52.06578523586454,74.43471819877294
47.31728572682871,88.20571368129595,18.611185294847136,53.75693664101647,64.19378557818986
42.206508340502005,54.54947853299484,37.68003071779959,51.645211030302924,47.62768350359079
60.97529899770686,76.32357182478017,41.316236697941534,35.09219006816123,76.52836164834913
60.39217401634173,79.58744221103528,46.61635675267868,62.43643054066082,66.21822952298128
46.664785441966785,72.14068477267645,43.904918363534016,42.88351350494841,53.91369629388754
40.347103041181256,63.77877986242568,22.049047777619805,50.611513626251096,46.78848706556415
33.52106937897567,55.44665017310571,8.632514954807451,51.0808522982663,31.24875975429348
54.20056917157499,67.38250707468039,17.75561870466798,47.43270608327476,54.035240221581816
41.91933509711302,53.26668208625579,24.904631158115357,44.200776785495165,37.367232323793445
58.02375824670173,84.40715341223734,36.21413871625153,42.8637824238962,67.6151407821754
51.62073166976344,81.00609785648905,50.8179739528716,43.18905500796165,67.85371783773999
50.15756745846913,72.45665807640947,40.6942473542694,43.58167106421026,59.95087354160538
33.70199658300562,62.180188439966585,26.42910044412517,37.01887110297788,37.135577172543925
41.13762340520998,62.63801498946826,48.599498554511115,47.30408554449887,59.93652162941334
47.78187991411179,63.245284378406566,29.319809299839978,38.07012208042367,52.570950433699046
50.56385116558846,71.34868065898635,38.067306829893084,52.616869313072776,54.4196766679142
60.894546944070356,76.49536594180616,44.06205610540103,54.7568925977742,70.92749766020947
42.22108048237635,63.200245883754064,29.34708756680548,47.89334349613532,44.11650194434925
44.951373798515505,63.25016774818495,37.958077408708434,64.98837369491883,48.58348168910903
51.76514166064042,76.91302046008865,36.135384922376446,54.98613532266845,72.31669509116975
57.64465968136953,70.82602585939561,37.71322348812559,57.15405922562094,64.15600482391432
48.7096896004631,64.62800926732487,30.02295926359861,37.07739094173666,52.33149954121089
32.45710838531516,55.119782621352094,24.05193318673256,47.6086332135612,39.12292341639994
41.42947471845069,66.01726277422053,33.0735491523331,33.93839481042505,48.8700940427519
