Experience,Training,Motivation,ClassSize,PassRate
53.18763502998134,74.46346457664308,48.83351780952699,46.7707999255768,69.67601627022833
65.1110387381181,66.04022976107882,48.78746662904001,55.01160193945494,67.02863430109784
38.633732231762856,59.084888295888106,41.12244897880455,51.35931852948167,51.09093377632889
56.42459906385656,76.69591594031465,36.45018149875387,53.97013651658983,61.44358173637118
38.72118254984074,66.2624085559853,15.114386916373595,47.330132288101765,38.56738065393806
44.464340169718106,73.73187179907671,35.49259899724179,59.83033845724857,57.20743601631384
40.30477812629541,66.1151972916453,33.91643113642288,67.40230036948158,42.589757464532944
42.6604005206357,58.05224525146929,47.622027230435,34.35750313848459,56.58658508477851
56.29162047067303,74.29467359765198,37.20992967143047,47.202502300691066,63.15673103597227
51.03471814333346,83.4452129606772,41.964116440235635,57.42957090045027,59.539739883760994
36.127405006987914,69.87222806868908,35.60355445305854,62.80293343166765,48.13940056718518
37.02602704625805,58.716130444911315,29.691791929978322,42.51605535066253,38.65839053273371
63.579159009305194,80.09430885870205,49.47386475576742,51.74486494064901,66.56824858705644
34.05427116595354,63.24908822826509,14.768434616612415,26.55587639245201,41.97137681416437
64.80085309726564,75.43358057186217,56.2901754628618,45.33938975439412,83.83285474507386
42.10749411142139,65.32148269193623,31.391408197483322,70.29874815942497,47.89547672400889
50.5038494273167,77.73614621423138,56.31921775190875,49.92051048599541,69.30771117231865
52.217770955315636,65.57027477933,49.085242890373856,30.46147445352554,52.31661927689804
45.18604801032083,75.98184153905612,29.96920875801423,59.02891491128293,58.004234663570514
55.65538547920965,74.36741407966798,36.93277643394139,49.051137679901196,57.951823948841664
47.57633181350742,65.20383596309699,25.431962988717146,55.458106742209914,59.107493734104324
41.23518453231932,53.02267994532575,30.77623946030761,53.940278542125526,39.466546505408765
42.05459892492216,67.07877022777258,39.8390607548062,52.267246075907515,60.302625946697226
46.73779739907217,70.33054860159163,39.02211092670284,41.89064911100468,59.936097572909446
65.91401480095662,74.12186508866922,59.56278156272772,33.77743936357758,61.32008848412164
50.17485880804547,55.281642599298166,32.869412696892205,50.88434011025348,49.49506118377252
43.87626798776978,63.17899494197037,42.00649805790688,59.06615568705604,51.1077622723074
37.72243170348156,51.474498533853264,27.833241399112968,41.824956356999735,37.771127747149635
49.585734448051994,57.37599329179946,47.370871590041475,42.295148804478,59.95037228034201
44.58915798674124,66.34083325712905,21.384787410888336,54.78031899931679,59.78631979909285
27.96085831593629,51.91454241084835,15.44866908215338,68.97040376580213,42.94601599630335
55.16087327262454,68.60601844718818,35.8596779581388,67.41456613278997,73.85305690608433
57.76313624110477,69.50773399781191,49.66984550271517,39.407372203046904,55.311539139631044
55.331405708573214,76.59117543511994,28.792483553971003,56.29529960865034,53.79735725273884
68.32442143658596,85.33201080354516,50.32349213467643,51.787235453271684,75.8506004273427
54.11818528131242,81.6072681327418,49.822525135932494,54.4470883126545,72.24001498534771
46.962129321390925,67.14962330154833,41.02171018330376,49.1343749467136,60.64718301657742
55.57322513257645,61.56165593801305,41.959245052749345,45.04365088293178,59.987631270747364
58.34667757081571,72.16240219252785,55.866673619876885,61.65948103461423,69.16856352905418
49.152150562959044,63.42823113709352,40.31038196109347,40.72583798037279,58.23356407152734
52.737445425648666,71.45787149319958,41.755446664948124,53.0770041058612,74.94472304904103
48.93074123061794,60.72116069955341,34.50799388688916,66.7194220219732,62.12775952570353
63.84150011334012,71.7642213956558,62.368226365844485,49.94365580758211,73.0452966055506
62.85787743168967,71.83233692435289,60.036417974872926,56.03295892637246,67.0041231424347
47.797371166772535,66.75627861004057,38.78600843173237,62.40503077979513,45.866202697636105
42.25317151728718,68.92415980916871,34.69390122345714,41.536558276696745,56.63796590687109
49.125914295129206,66.94881910614721,38.51349997391719,39.51502908677765,56.79916748597884
33.53154118329124,55.6530506166303,25.64956910209568,41.07996268126879,48.373406442396146
57.8168593937739,85.61334255022967,42.259462607749704,70.49577099615485,73.40963638366297
58.978172774105076,85.87899112210184,48.442748900868686,46.19495437649484,68.59793788916052
39.82455692084942,62.000666388607584,24.015909877945873,50.822492068291304,54.382656691058976
58.58068215262608,71.38075917977677,37.689055810516635,44.0259037431246,77.6925827160605
47.87103220934833,73.46670975789777,29.166555166504907,42.15350938864208,49.95794953431235
68.94492369899888,84.80332266334787,58.86562449152284,45.832326527936665,79.07307204392713
73.64525299910193,97.1677150161423,39.63558379965561,61.686692659630125,81.98094612611493
47.86100942255171,70.97269944576675,49.89551567074887,53.22706276313072,63.93870076970329
34.880364301860055,54.74894786946186,21.371827518805933,55.20086976367593,51.17343047391324
