StudyHours,Attendance,Assignments,Sleep,FinalScore
39.14369396699439,57.4766337415743,15.16398208014759,45.49401312441085,41.40562532181869
59.97345446583586,81.80626846403754,35.36907240374127,56.095903240798265,73.02012983676954
52.82978498051992,77.44434947244304,48.39239305810208,61.73744380694597,62.71353806291426
34.93705286081908,52.664398714813885,33.091084481184964,58.71814589273552,41.56839880558098
44.21399748031464,69.37354664987562,20.997561118503818,69.04723422336784,48.13462136883796
66.51436537097152,70.59870083995706,46.30625271746798,51.33491249267204,70.9255189359186
25.733207566069257,51.03133438952888,23.00780371394718,62.81843839046336,35.263012104389574
45.710873711438225,59.85270116539019,37.423101347664215,38.40813226242416,53.680130624921205
62.65936258705534,74.72398435791735,33.97718436262444,58.70501891000127,67.32255743315964
41.33259597734899,55.630880052679764,33.07952444032247,47.903646567632975,40.31732289255409
43.21113848377946,69.14213965441218,27.54553281623805,48.53328688578451,55.4226662767257
49.05291031063109,73.5251093870565,46.37902597254062,63.80591232320758,53.80370201589605
64.91389626124288,77.18545237312048,47.08398401472386,59.686388766936105,70.01748652317002
43.61098003315349,68.26436986238704,35.58253478824328,48.318707876722755,60.019482436075556
45.56018040353935,68.97018219096968,33.29717044280566,75.52230163402878,57.66354477062646
45.65648724381482,66.46462832757788,39.57392111540655,62.5882969878062,62.908662314688556
72.05930082725456,101.39132109637025,47.8999202523632,45.58230706252735,80.83424698003333
71.86786088973787,81.41089779625088,59.2469220247352,25.77155771365411,76.61801942097176
60.040538978788774,78.19691490367191,54.70210679415058,52.7781193997315,76.30194342010635
53.86186399174856,70.93903692188675,55.08088317706569,46.08944834753938,65.36735132006744
57.373685758962424,73.64306205468907,55.70058120687893,43.73461345356502,78.04229170890093
64.90732028150799,82.80679289649954,44.39151554166053,45.043878410775086,68.06214297046516
40.64166131597609,61.605892850918124,35.09844377473071,51.5313140039422,53.55296187730917
61.75829044782103,73.69942115270041,52.77869573707888,63.14912513112499,72.90096168423614
37.46119332250988,61.98947404418288,32.81625383467727,40.19681774131969,53.59338718144777
43.622484975465895,73.60914388118809,38.74469147070253,49.29619652894788,59.12481307269855
59.07105195800301,83.61099382144897,47.6948378772462,47.982488814011845,73.61830277136158
35.71319299774031,61.19979919014207,22.42285148616202,41.76226448377726,45.1521686609522
48.59931279811334,64.6571832762393,38.10636902602844,52.8129578504468,61.11401247648869
41.382451041403144,65.3418455685551,37.81113189145127,67.72111339345858,49.678515612120854
47.44380629469403,75.82898536196436,39.275697866866665,56.161786119218625,63.740705594413456
22.014108945392756,57.46144947867117,7.739753667631412,50.71113972336391,41.42985659969588
32.284668954901534,59.66449937803543,17.19255550217676,45.61217818707459,37.25962924764218
43.00122765402082,62.912815778734014,28.97698780657946,50.46787349514289,54.05456495406574
59.274624317585825,76.18677624491183,42.81746022583443,32.824570525441175,69.196680106552
48.263643172097844,74.37622757852559,37.45591820630424,49.39822007113305,54.104683502320356
50.02845915896811,75.13298925213304,29.704588342792242,48.0670023710332,59.06121934130309
56.88222711102285,64.10747158839504,49.021317006117464,54.773528096692296,67.70105245538497
41.20463656990948,68.33171452958783,16.042962833272234,59.48504700278654,52.29463906263389
52.83627323807291,77.40382646230726,43.8568184187192,57.45329422400696,59.392130152959645
