Frequency,Rest,Load,Sleep,PaceVariability
46.720246002218396,55.74407864009811,61.02712940295945,32.24953068550316,51.511084729821384
43.985560754157675,37.45549090776276,40.37440355355734,57.47308533119855,27.92142186120032
37.46714386088818,44.193419779064314,58.43347519119456,41.70842483731654,38.11338220540891
43.93935585060982,71.21175359178176,78.90595924006297,52.96513030019886,11.973881243770208
63.0106153788573,33.930069635581184,56.35178147832559,28.837245928424778,32.97859822386607
49.037837956713695,55.94937618953705,12.717371098778429,35.812168630148875,63.02068982087316
37.93922931570356,33.44959833496914,43.792208944166674,74.13471456115174,62.767750325639454
55.27223262465016,47.69378296903361,60.52813668390189,61.242903250309,40.47826580190646
38.03282231312751,46.352654885581686,64.09217362233329,63.151149423265906,44.62433792778569
39.00161647221525,62.49634778394785,45.50487286835423,65.56035856773002,50.51851422241487
58.461415259095304,40.432601370903285,72.28762038715352,33.40207930042014,60.13030594331169
36.07332440556478,70.3761012015489,31.17983182342069,77.4374685490387,76.80554053440112
63.299065486216115,61.86162648311221,60.58316109150218,40.933607700386865,42.911926338013295
57.15360032615215,70.28514319856481,60.94922884132423,24.61364292260231,61.285468741723335
42.44664353924735,60.7365630821253,41.177902378623656,63.98733851012308,60.75901405380249
48.787000507537144,33.71590220478012,68.80679366230703,53.15497142095189,48.2844429447215
52.9403714353196,31.80164117778495,60.22961203332273,45.67810617653346,50.37287146298458
53.43331185790225,24.38192549980346,19.945433498158344,24.904458542386283,38.424971706857576
46.39220774937986,25.100864231621106,29.534380170798965,51.526897582655046,32.359936092252724
39.870191632594405,67.33132298872698,54.84656753259409,25.679159756873325,51.592014300082724
56.1679585653702,63.75943929901085,59.17942056706556,57.51589949576452,50.7727077457754
56.956134646579464,63.757312869512106,47.945720971316895,38.88611513622844,47.85408473707598
43.76743728831279,48.0943423939415,20.35533938346723,65.69119654532294,53.343415227343705
66.8015046008847,35.1667428097883,57.40318268746301,46.963332735874495,51.755870448604995
59.15318550531546,62.329053630852385,42.333170301748275,42.3592743160906,54.89080781731074
3.3768555499414674,61.7729616288119,54.68804096378049,52.91410825066737,52.771299851086276
24.449945910294748,46.43686712260798,53.675603552125075,53.09780778739047,82.01486312689809
42.78509395287094,56.43639226827305,27.997016000197096,34.25129620625469,71.5976951576236
44.30146592494227,51.517240871002954,54.14346341708254,71.61450731313495,49.07349760982583
40.531291494761405,39.04189983773371,52.66432197594797,61.986590879016326,40.34543684163101
38.60493219029317,61.127058657760706,65.53939120978671,72.73381569101518,51.97683635283725
56.491905411333875,56.05223556808622,17.984235291024753,67.78033335909184,62.41039152777979
55.327209416792286,54.2679792816262,52.04745327184273,81.83926064271643,22.861247937755735
43.126605864208656,50.548533119055634,67.92912501453587,55.509298970483286,39.83967281189346
37.30692958410031,52.88481302343242,44.68754759440142,81.35270346557124,53.471915709741516
39.487186809863346,78.04768485805086,35.725937812366446,51.26611291114979,40.50527619848212
39.381313766889576,54.9891657410163,64.1909452384985,59.977976206672,37.84999160541391
68.40120525883378,57.161699478769734,13.893689636495644,61.584008329651866,67.39905643000029
52.13980139345134,58.61977303233797,78.43076763799063,11.590414634051086,58.86172569170309
36.29778292379891,67.19562790500622,45.40752670295058,55.767944814257746,25.891860446402358
62.11640922546583,31.760154461048973,45.05804840787113,68.42811033641836,60.441189305351074
45.70940656974488,28.075152281724414,47.38335777799296,42.22784680515126,42.05419709997437
38.747067084177644,44.150316297947036,46.32202458431907,78.92141269482883,33.2886088045952
67.17343068252791,68.46906148250524,15.812167712549915,37.71741976849523,48.35902704496534
52.15265391424748,27.305338164721565,46.854891207819804,56.326133085401864,27.564383013879734
49.096141239978415,36.25439193995345,46.85933082851575,37.780326135927076,44.12956695583001
44.06261823216245,75.08570911319103,81.51985991463121,81.17297180328924,15.261500734645047
59.43773413242044,45.77646308381134,34.035220733750876,71.83177425941825,47.92614900833235
63.8474000711096,65.23950656220438,60.10890087589107,44.99550384701662,45.13964101670769
51.41993965558771,71.82011415709532,65.55976204299009,46.322803127931294,48.70711599667866
76.76985435353708,31.514162864078344,21.880221132603836,37.02566753111599,81.73899624833147
32.07050144296946,36.111431963128545,54.608557468470735,52.72366485439678,67.39549760667687
68.91136777026085,43.65798861686099,55.79287727569294,53.227965619960024,38.141237756292355
58.1366253573272,51.96346990814058,54.98284300950981,40.645773503920196,68.7521096136922
34.227822395794284,37.624138141941295,80.38065559711447,43.71934690906086,51.129384437856196
47.31358349658606,32.65745268266373,29.99939812941347,42.802376398997275,44.64916319865281
37.361178653149636,56.486447710419114,63.85940588300581,54.63530181676834,43.82499830086515
65.27963820559557,59.07549432781566,73.05719943824742,40.459531084459016,37.66961141214889
62.03077280901185,49.737307720159514,53.37084306606457,84.70220095637869,35.36252821115462
56.13261861181651,52.684931117726805,68.37908357719132,18.807394107043578,43.483460498947196
58.791330634191695,50.655356044752466,52.0379482681345,39.74954831593072,58.94951678198757
67.89325595657772,75.1459019891551,51.785233017326256,49.57146371020415,54.07520880177158
37.84061294910122,45.56990988107857,36.914349548338336,56.08841530759823,39.62194230396038
