Intensity,Volume,RecoveryDays,Age,Injuries
39.349398349034,60.00099591752234,31.921836283934724,31.789499349451162,47.175931783489915
72.92779125736439,31.380542077317912,66.76332961980472,59.897358027536676,33.019299789851694
54.478215696417074,39.179228297622,39.220150880081306,67.73421972794395,48.118163957824144
47.388412700989974,49.79771375880454,69.46729030169205,46.23537310712086,61.750337567929506
61.8643896027795,25.147908849103374,66.69638255385091,68.50583139511839,59.93132353013764
42.94630940647845,37.50867769442914,48.7703989378928,23.587841575232023,56.36451235700055
31.211562135371462,55.372682794782556,44.003762186259806,55.967777565165626,42.84402630660143
48.77468023771682,39.30814249251112,53.8932417365074,63.826949254494494,68.11290989490863
44.514717341065236,10.109730696308304,42.45397760337193,60.42335073569671,65.29151957857408
78.54845004380813,40.03138824973892,73.31771418726845,45.31784253453399,56.76205129272615
56.364343972812186,68.90947610128833,25.831872963226115,29.649920056104502,51.71941633045349
33.87917892639565,51.32787313809935,63.536951191064276,71.4861899065476,36.26825697002805
33.740591440694956,57.392929410857235,62.38408463297543,40.049816093217494,37.67141854152199
61.788063033389136,65.82673434770645,50.247970094142886,58.46740568078138,37.90004361955381
41.833449958594834,47.13325604750405,40.996422985046294,25.446029451623296,41.50910635848762
55.57575786114384,43.67453976644833,62.76302319000928,44.353572706868576,34.74591268171494
51.68461002203587,61.306097368180886,36.606910612971475,21.440429981162588,54.92438067579972
61.390590897843865,23.851222380618413,65.09657153123167,41.88791251910976,46.066945088168325
44.23622492062533,44.52820046246215,46.07885079383479,52.83343059060745,44.857614514796765
72.80099713842083,51.6064755697608,57.09005140057701,80.15374665230024,62.23289889543466
91.72625036902768,46.359534070677384,62.10138778039853,57.25521825162442,53.43666332319493
57.701736413532714,51.31753970742496,62.468660020188125,39.16267308208298,32.26060507564131
55.477969568431554,63.84941929677873,58.62242090638723,25.355794717208482,64.05891742817666
50.2312459422299,68.1710140149114,28.945554290412137,67.49679357003879,49.12891318177135
82.47167894343256,55.30718745839857,60.156801814563394,41.90648669578256,45.34591716139757
47.48836611708932,51.765425967739695,46.3782047052412,59.59854450786566,66.65260315608143
58.888166229226414,53.57178214195966,45.110618296471316,5.7583165740314115,60.831540354334045
39.19244703786543,42.18355095123047,41.759976931752306,54.26499861702397,66.09639171788436
39.5639026200476,26.591701707396552,55.05469948674106,32.166107487503524,43.000073642949786
36.67432207106885,50.99719375150382,56.87149069518135,58.96833135174194,46.784453055525944
71.00346966682658,37.863002867798116,31.720178386058507,34.1351641293637,89.14876572971511
31.726492043429747,68.237726096658,46.1417255604067,61.786351477024546,16.599579216725026
43.93092157373804,59.8580088839272,58.213147676936586,72.44347656731537,27.027149604876023
58.872428730908375,53.93941463392362,47.899973077955835,50.823971814641965,41.54603594120084
35.94935042401184,58.3909185836885,63.74889682199517,51.11674097898054,53.07941083490612
52.508736068779776,77.20610155398812,30.468217799745933,54.459258970350966,46.152545329358105
42.49578858014782,66.63269023800109,56.56966444548166,47.674077903782766,62.754769902887446
38.883999296327616,72.42258352058181,54.52923798891959,61.382476689122115,39.5610013993601
41.847513112659996,54.5814007811488,28.46780055925019,72.81643965268088,44.52857849554352
62.304507505487855,60.71063158338585,74.12197308360629,35.13606247737741,54.84959693752414
60.49260030915491,31.28963288943319,44.24265024132211,52.97264100135371,43.4254020335696
17.168864700708667,24.199525744914645,82.45134694537697,68.06335811299545,59.652348315269755
48.2022563012644,40.087357017288596,56.05832708110226,35.88065481372028,65.1631944048957
58.277548732108954,51.37418740629119,45.99932511115928,45.77300754628125,54.89180761555429
