Mileage,VO2max,TrainingDays,Age,RaceTime
65.4589188198587,32.6696784943244,58.63155785336221,40.71142312757948,45.08895790443571
50.71406400300376,48.20763422410161,24.858415377605972,70.72718031744975,67.01613828138346
47.805252603108045,64.01597940093626,44.03457257993037,35.26703834383274,50.816195213008626
32.466457122729196,59.13575935224985,39.46155875840387,25.99953681150532,-4.408115437577159
48.094155217031116,54.81053734608721,70.06604567214987,23.974841536241087,65.13798219563905
42.69261216237729,49.0753511789286,50.08669366612212,49.84397539196291,19.504975076222365
60.73761510981976,62.517811384243444,64.35015970436623,57.31214180519531,46.89318788927858
27.979782277060508,56.72802491661899,50.57811430227216,49.96323825320226,56.60983216937764
49.323320008218374,43.33972704051391,32.30042935134776,49.91218571287624,72.10053510847706
33.460326150777036,65.04693878307322,60.717884182800674,24.318402531389474,59.12780655116709
50.27198340357827,48.74821480748763,79.94321786442072,64.11984165146886,36.07812465004049
59.59605110343646,36.24732493191434,36.87878653926798,52.40609584463239,67.60576094667954
27.691043032552727,42.44315952265615,67.6375109245495,35.88754533586287,50.47102463440646
45.340110143916135,69.14806007706787,54.78266613783841,45.51923788704479,37.45097436721523
81.57607364966957,48.863618334059545,46.60567726033793,57.490443425631845,60.78299788762597
28.99870825074834,47.14998064087083,33.914881684581836,41.53186571602559,69.10234977052096
67.30133833688105,58.83215238542892,28.921480368616933,52.8005330908142,41.3659970480307
64.87869810885974,41.549390600182484,37.57955386936075,55.410057709873485,68.2025592528345
66.01906842391267,69.48902148534678,69.62688533368966,74.49006061936366,52.70937861338935
43.33055917877835,37.61747581323152,67.92035279636232,47.412258739408884,36.351688377089886
57.839277030502124,28.289132265550503,33.79900593879851,53.259836816069246,63.23040492253472
45.03610890099568,46.51240301852332,61.79964010558133,62.435511643020845,18.878485314280226
72.24695121440112,45.09347690161978,38.801742561857104,42.974094236834496,29.530420777008473
88.20711320296573,30.422093720799502,27.519953842742975,46.07598295923281,29.30208692424825
51.830253740841826,74.62580295643876,52.47814483784231,55.08247748760845,45.63563687326589
34.38507153265902,45.615415878055934,65.81918607741275,70.36275786644154,50.62416745785227
63.16246928009194,38.378105213756754,40.771959588430086,25.999931273676083,66.63692651446166
41.360251054186136,30.080339778599416,57.521815964196115,70.15043053084523,44.43247953526392
23.433769849415356,45.14143149388555,53.58602720551794,58.930912764507504,61.651309246967955
51.13898945058032,46.11988745948348,60.28496702981057,30.152946436418127,35.46799642835783
