Rainfall,Fertilizer,SoilQuality,Sunlight,Yield
59.960016157307145,45.558259269768605,49.00120386345468,47.36926443296651,57.71080520894503
54.29195699180399,78.59479905879874,44.237847525022026,76.89278416347888,22.823842611524217
57.34284552874321,26.215914174165615,34.64164171921377,35.38010665603092,34.212916775613465
40.878878403611374,83.00750946766948,36.82917338753978,25.79307395490131,57.4055588702303
53.63429880056953,83.24424564584282,49.3881219903765,15.688804539589796,43.5886716737167
43.2904972575411,31.50706319972937,41.560909655088956,47.75666337191576,49.087598088302464
29.293363050566256,59.1404251074074,74.53907888780894,54.20838724606741,66.59551788125638
52.71969018342428,34.30291427731864,54.0637093804762,42.46166697783907,33.3582728212173
48.82881317723066,62.30553140874312,44.891212569964104,79.0993645054833,64.26359396485473
41.7822658344492,41.32673807193329,82.17117699729843,44.95590411543094,55.46330107299563
56.32700052656626,24.141711010889257,24.337084753975493,62.84471888367323,34.28955672814995
50.1779758352056,27.34919620954706,45.07311652303689,53.20607109179752,19.098041724139662
50.81102812024777,51.638606748366506,42.9720316234497,33.4933681787044,44.35091976574938
44.37229068303421,78.87359677046213,48.18750103817189,43.0349487694418,48.157338680198976
56.35522268287291,55.8021551319842,56.747276675353056,59.045701687855264,28.096107851295375
57.74725006412488,52.76209666677579,40.65381798883894,51.596476140577124,48.35092780051725
49.68782812441155,52.615207835624474,24.82580180607992,53.946495620873335,59.75621872786195
53.656776223923906,39.123714606646494,37.05234444279371,52.73299347456277,62.04613433457617
69.62968582406859,61.472120090448605,57.67551061721086,11.861300340085123,40.79548276447166
54.69357494727389,39.79968542840363,36.0478405094186,34.064254904297755,76.47252299336667
30.500422304694588,46.81564568544534,39.08133862997908,37.0430525146495,56.171496670546844
62.34468035128418,32.34650321851389,50.78769962758542,48.29613427724838,43.21729696439765
35.99448237722807,66.62886163084937,34.48997784117907,30.45733586313445,66.4814465342556
52.99917186456784,32.283904893454206,48.84323050791377,40.63899196232019,72.33249620071919
46.37694181947845,57.97412356450109,49.65433820940676,71.55458263385218,53.05081755198734
67.36330053449895,58.12125781879003,41.703338492972165,50.02791838248754,46.8077558119075
41.397983159351725,33.84545604471998,70.39342608377898,19.082542334081943,69.97253189100707
29.935469398106548,58.147365740360144,41.21652714642051,24.998268109882396,67.18012622883917
14.010308348089836,61.94225032990284,51.9488973254665,65.76403402371182,59.39518614391277
59.19392828476107,63.46860899232605,62.56358940345481,56.760188559888576,44.980954723130495
46.56242355084001,51.60154235074985,46.00656990690476,82.79054747001278,48.70222003782946
32.753101581169076,48.19129765949059,37.422985397713575,79.36779101404704,51.46667968015199
59.5220125830034,57.727841922465345,64.18535886353688,53.576659208836304,44.01857944360349
50.708714273873994,31.601578352261015,47.753477177069236,76.90867356695199,61.02812399532794
48.40567385743963,80.17548226297833,40.85848281809138,55.14129358104291,45.45554563924503
46.93064454227145,55.909338689750996,58.64039159930251,46.959068166802666,37.45864297160416
77.48352753055629,51.52182243499039,34.444591569615255,34.66586076823038,79.86515088267363
86.95863285256975,55.049560291680976,40.79157298034869,54.98873068722821,45.41557542707715
58.60407690760508,55.25132735951476,49.51328282349539,48.73421128903697,46.698444051700456
64.22817571139072,47.10820784043345,80.83349193588958,82.23172678802419,44.326021108392666
