TrainSize,Features,Epochs,Regularization,Accuracy
30.45340337176247,57.37578983323013,90.13914913058966,27.414270112751495,37.57791702794523
33.18965392743968,47.38329944344739,85.5331928659813,58.71806651471763,43.42828783464496
51.758049278920154,50.31606205748101,75.34643134028049,18.286997916270348,45.44737298138119
39.566334345388114,53.89554349918778,58.03699727089063,52.35053519472062,45.20214617750387
69.20853246943328,47.62136797706868,51.64797639472438,50.242982853666994,67.25771390255991
36.16747125071065,48.6116585271694,18.936162016775807,51.48494659201853,66.80545157251109
69.14765557975217,58.817656083583685,60.375306225385984,58.13260349519548,69.39563438988691
83.68128415982122,47.83109667808186,33.98693523017069,35.81056390482274,32.98866457717865
61.55301030404995,85.94259336372707,60.97913629303242,39.81598849977243,62.34789202038911
46.70304292476985,71.39947056179344,48.71504318936742,55.22401958992974,26.066753327396757
47.91965237736884,19.09537264471675,48.24120197997464,39.03823699643411,77.46891703145684
63.539096103711636,45.40453832624642,50.328614266732494,70.73105771890907,19.865031922560696
53.52137119457461,34.618133883404326,69.68406093008024,42.74349793232707,51.52345725324111
60.22363798157291,70.69804801390309,58.839603718401435,81.73498702892199,40.1764020349561
52.79724207280704,50.456454263640595,23.144294385900828,41.54410317518291,52.37898243826016
4.003230204590466,32.167286186714946,50.52971754820942,39.09442843833246,49.599703272810075
80.10259035666125,42.79301876876122,46.148467673368046,36.05674993320976,77.19724430537573
43.63071787571693,62.585877694339665,44.32694750237626,52.113905437576975,63.005227078343424
36.15242225536808,51.02244306918365,49.79288296473495,39.23422342599867,51.09747546805957
80.68298772219119,63.54735304189515,39.31445582710969,61.50369532648678,60.65706492853554
35.61513623935924,50.15624532481267,48.82217573766923,44.0089770441784,68.30389226960375
29.23197025671564,22.11891537895232,68.86107295354061,37.8506376402111,70.44542033003773
42.91663168866894,40.94646714604547,63.99792486895976,62.99709709149386,45.60832276635414
66.45580890206917,45.36582809520573,63.63809334488355,50.62032900103425,55.351130409394955
53.42727376376746,29.496112771692086,45.33792055347221,41.21977596393011,71.2818680721565
32.933090477302216,55.31428813727012,34.828284425915086,30.369076364392427,63.84798791578571
53.641998106613535,44.14695804645173,44.55707368330905,51.062863169575266,63.82066645897234
28.786585363875826,60.02818374108186,63.27524289979311,69.51186798577847,46.596494334625426
38.424759190985725,67.38998055864167,69.10120084062845,31.6667983253611,74.21036031186637
37.21789816811154,68.04005322768464,54.80834207183485,52.469642656871144,35.65958858960134
59.890877184003166,62.54651813211084,46.507613926681636,32.64170828589519,22.273363702474978
63.416953678100214,31.279608475944872,29.62448584636778,37.06910114532789,56.45158295317289
78.64056591498169,45.622310335212724,37.623784755866566,58.76375393240826,29.37953594898946
34.40543112867621,51.839875478905014,74.25605345480551,63.20731530165061,85.56928273896686
41.192653039233974,54.18953938337714,15.764085618891627,49.71758770327754,45.96658547364607
67.05947724620006,47.8535731742456,56.76493558657473,40.55024214236269,68.19755336524251
57.608297691382916,60.442131730050335,50.35340946562123,41.4204980182309,55.88670352597533
43.170778996840745,46.17487398875013,57.57231408457994,80.3888900252947,53.158249215719046
47.55613086854811,65.94012349258091,42.54252531580974,55.86767087309698,77.0973659223906
56.22561734894582,68.2431486060443,46.81389549731302,43.65295602184972,51.928258161904076
48.114408423804996,49.327371453897555,39.44575678029921,42.65716895193687,44.23246276205642
61.2460613308786,59.74590347497333,44.788741248389634,29.311986380051593,55.44695554746891
41.80500395242297,45.73142635545144,34.65858925123548,57.470427595862894,78.57381566213671
37.340066147117994,22.86491130241446,18.103109411560816,69.73436772968614,25.051722588773714
78.20516418218158,34.41971199830044,52.098021943150854,62.925837035747925,52.1259539690713
47.75667237982677,38.319177923908356,58.39451670121808,61.14009300619469,53.398110483196255
48.43612403067874,47.77429554564688,15.772876394462642,56.71914091811026,64.64327325561693
41.80493381531962,64.23993428887897,37.40510205968906,64.97557034197918,27.372250094406056
42.85838748123798,59.025407598568876,41.16450598630672,8.767893177980397,64.95759674356967
