Experience,TrainingHours,Motivation,Breaks,Productivity
71.26334602104916,37.167682167921626,75.08292664165225,43.578347547053596,42.34249819558111
43.83526718164882,20.730763090540503,43.66229308440239,69.66509020867332,57.16029590778971
53.41343336576242,55.26050804302112,68.92170699063882,36.83014974371387,63.558179056811014
50.997837523693164,38.242039872612054,56.95470967612308,51.25735253460326,37.89904705346877
33.9569711485979,43.476610725213355,42.33484478054706,68.31442779370452,46.78625350070271
44.403637085267285,66.93207705074079,70.24492263532494,37.52792795379045,31.343409756088313
57.72839070603887,46.88922505251805,41.82173062321658,65.57459488789634,46.091242153894186
78.77295672363181,50.715288920793625,52.46190819170582,83.59646075781596,54.6447074727491
39.40628616227475,34.69297615199497,43.071117018230844,53.54025935582504,63.66508379836547
27.438322708331143,50.04739634952363,69.18121655785635,53.93273167285905,70.33805049912172
27.38059292682275,46.601372793994955,51.80700648478362,58.29754381016218,37.2291857794709
56.239426220301546,57.40903780889655,48.897421210172816,57.04909953141582,54.74469866753356
40.12436677159088,47.62816968333049,31.265290159746414,27.56152360583202,53.81498082043671
21.589894339064625,46.37243816376629,56.20103639265851,50.24659940805492,82.7814858660208
56.40139717239159,45.970997346955954,59.12067859440797,30.31755677504746,65.00303656941914
42.425322927099394,66.59825486899601,56.00519034651952,59.38450870029921,41.69211014742467
32.82889012867648,32.562532868169974,24.264148970634817,44.2482650078535,41.1887903526255
65.17718479905228,34.496084471968615,82.90923200450379,34.9764677714726,36.38776623815696
27.799975132845194,50.14541917056823,45.171348397572615,48.38184042385098,56.10311416000155
64.73980236841845,32.45259055113436,50.29405703550504,62.830011723225454,33.58808235405722
91.46504917079,85.11872791620462,48.87292635972126,33.40012599907858,35.33095092863345
53.50604075939661,59.59582983888391,22.366949882153428,35.810121961454634,52.12703300337634
28.933842677011775,45.54394125545238,56.46795794556121,47.569718539903185,38.986149655760315
51.305182768394126,57.603303808145725,36.18735571771359,55.16527675583957,54.86798002258536
57.78769957321663,53.943134909868554,51.95105157599706,47.66051488883738,45.513417910365646
60.84489535414633,48.568158625436126,58.02630753209442,57.791371100968874,35.90346790753744
45.220259729171545,49.207452883991095,51.3516828788975,56.43896249378853,52.680516228452014
50.62937943855013,43.47147030584958,65.85393016446868,55.21262815344327,48.31846899086883
44.15562282582519,54.1976065957023,50.44399285852599,27.141960603981925,35.14165820078202
69.56864476065267,55.55674558321431,40.40423103468041,44.40673039391071,37.07048635470023
42.1302898574756,65.36751062881665,47.28418029832346,62.49795316068246,74.41501874241362
44.072788323997585,30.57341257211801,56.49390598056736,37.69539337672463,50.00910409308722
