pH,Nitrate,Turbidity,Temperature,DissolvedOxygen
64.41341848246418,44.45052894874308,41.30628662820415,63.99968237172425,9.026904023493756
30.868815130963206,53.639793578982044,62.57047952053291,62.70163979044757,9.154031453368468
42.73843527471115,62.90598620451055,34.595289923925314,46.49971120958247,56.76505423896367
50.97929349931067,57.336342445499284,47.40736013047918,58.543780772921366,58.89736519097414
62.81024763295161,61.95641738079708,64.77724419839068,42.75409738855271,43.591641296034226
53.03032277985928,79.38481840207756,53.42239111312052,75.16618261657808,72.20447665858575
72.30802481102968,71.18587690245283,35.770846676968,33.81844995993377,37.089144191389686
66.77956165724954,45.85397853013781,40.98094962889893,43.74164747100225,57.17515639190624
39.55199169078856,42.48892150535754,45.43531163858068,63.76386144506374,25.117402815382704
50.133120932093924,44.64306525236628,59.11800853680482,48.28728851323788,36.231777596665225
82.23944775466623,73.17044135145824,53.687168930184185,58.881629497847946,38.82530839334113
53.132361613257764,89.83042453034525,68.59933787608314,34.159652308953355,56.06667241654084
51.22613334968947,57.809383997346785,76.7295370657281,36.35536764593612,46.97160147939591
33.14491859791458,53.22241701565274,51.616391471078735,81.2468401335634,37.231271083524625
63.59049866137677,10.684559462369577,78.99409304146796,50.43365367471513,52.089355991243806
46.658661819834485,57.10310369053226,41.08012974549064,52.1582666037171,70.22846949771778
44.14932348117817,45.45050336678608,45.78640514338163,64.36950535074554,47.723095121482416
43.319481081973386,52.69096821669691,65.94668021867156,30.44437568931687,61.21783955017224
55.29191811280426,55.95003001175242,50.282392201693135,50.4718905818611,60.559500573623666
26.75636763555771,37.87593567098654,24.67621257095113,77.177476785313,68.89075597746378
17.420639013347206,55.430013252719974,46.71037130122722,58.91582396267755,55.01796465748873
47.86616799826848,49.07920611388545,65.26531093422821,41.07600659106429,44.23629145353044
59.708067823493984,62.83738526689025,54.39739716551331,42.786565905746684,24.934314735373967
25.5474505033804,46.941784258485804,52.4904591584931,44.709012061706154,34.23199243354588
31.909148744979067,52.438859345267396,70.35344498467802,38.82257129559848,49.63083002832321
39.33755304856718,59.02739652534375,48.12014890421314,64.82000414549935,51.764960118131356
51.79757967176772,37.20272283866257,37.459765498047254,56.89775524424489,53.44869428450825
80.207947237256,33.54590895991906,64.86658165399095,51.953500851486716,35.3895602070061
9.877277810906712,40.467472419445194,42.35865994843164,42.327426383693826,63.5270166644826
43.128679814036325,54.093368208131324,29.09148345380632,55.830911288320536,30.507860987213352
60.13921401289817,64.5035540545442,27.508227239675005,78.84880314216724,43.17941153049053
55.433252015917965,61.47030853695512,39.890662153048545,39.48734361123239,43.641936752419085
56.86443706343793,58.76051934581352,70.93400908252045,68.64883690537005,68.46259909342123
