DistanceTower,Congestion,Weather,Signal,DownloadSpeed
46.016940792126796,37.13093157002592,56.71057348413661,34.780586713651026,67.0150200294537
70.83425095581518,35.46014365745002,56.142241875277016,36.02448558628752,23.435455665311853
40.67790476176765,45.666972406922085,32.36297879939464,53.94964487200897,54.843043860482005
73.43207381375915,59.198870488372,68.48969939200374,46.60421826514572,57.417077658925635
55.87237715244082,37.23191445277377,52.69048606528773,59.940755319540685,51.98836014353693
51.71476392913879,37.19909178638353,79.68048336671448,39.886047806489955,44.45571706684936
70.98911079213612,72.61060567846248,46.39177936300885,48.996385935658104,65.78160551234461
66.02007936512182,55.4927948966481,59.941746484083055,53.75325169210911,15.455469226002862
62.97337805470119,30.27662718950695,34.23426706416924,46.33317907801861,41.550523202005
40.73355959667869,80.92991329187228,66.77764187440769,55.76525277140499,65.31308304449801
75.7467313707086,36.056251102190885,43.59839518356186,56.31659150050233,50.69890358030652
44.09587579203162,65.36236451068518,46.46316041119534,30.53282747259542,71.01106370065747
73.23768682511594,79.96736705462888,79.51086462774684,46.03738759087378,44.523101889885474
21.94830667277321,35.73645398679213,55.44937653616169,26.789197484564973,58.78177531369994
56.62564890361898,38.57163244698306,58.707766052163514,59.8099408939174,33.72688739460827
42.89132944796405,53.81644101701721,35.605571394444816,6.5154711475223195,53.21319701942362
37.066806376036965,25.58844476723548,34.212816271032715,27.23703143742815,44.529102511102096
74.43641413516768,65.17845589318512,54.54687708458992,42.89156783734849,53.66369803344123
61.28811397731784,67.37915780075997,38.54559108721131,20.050815148757206,78.57516324515723
69.28342917096857,50.04521883048747,41.99095003081338,41.13639382702469,40.201788749104495
25.51163361327182,45.31581070640663,47.294645411515084,32.84989119829237,50.347068544842905
65.35355685245585,41.47248069491618,66.94419456041265,55.081407088529566,54.222763941585875
35.49702298464112,71.59350185279848,55.16172188544836,57.13078946305878,64.57075590895312
35.95083192933096,62.47639091648388,43.424773709882494,43.08457321939283,51.02780603031648
42.57985719071376,40.700343201506364,39.90835487209326,47.36637341610212,29.993711027110407
38.82862917431985,56.42032316019221,35.00353021840238,55.967158375285315,75.02235408362635
74.94305432840153,24.476126600505207,53.42552941275484,34.58143148654331,32.54266842386518
50.5720487841942,65.84099106638233,64.30567286176577,25.925262051072348,54.32697754396046
45.420592569739426,25.91921006722605,60.1291804816935,27.636208036025774,49.517188028582
62.59196902893933,51.58333758905706,47.51910244797114,57.394960894522725,55.8733996177669
63.536764661098736,53.13260212374646,63.33888055094624,62.487505688730806,64.10389336256202
20.1473702680998,41.22549098442425,63.71148551480663,58.21178664957076,52.636553171146375
58.714694196940684,62.56617764273385,48.569765265972414,27.181571197834387,81.4026171782597
46.28578154966304,52.750349539189784,19.06792342218778,60.20037102475854,37.26434878716464
44.3834919105949,47.76459430485281,70.2073481589164,77.55513539615762,55.11615675990358
59.211492096951375,54.66186340414743,42.99114431489614,25.159682005174272,70.94787524527425
55.6678713417263,54.36366821175776,68.14829298172894,34.00922931476704,37.49018853163646
51.72971544781994,59.75826891207646,57.8577238247662,63.38488937076242,68.47402016728442
40.895414188697714,90.48242188698757,40.19908590514435,55.7230762809658,49.741282103400444
47.49350278758542,80.37855086504814,71.70435555066963,53.62051601767134,52.785158022495764
17.531083911916674,40.423213891713175,46.803386728261074,43.35024108243983,53.93203677052777
46.206416490401956,54.37519209561244,51.3590632093727,60.08736529789657,54.57204925186562
76.67137534842438,49.195285023244786,68.14787383736221,31.81545936818423,39.73686684281162
30.432190070311222,78.33150619601993,50.98571777568957,25.082190163682142,34.88907663619116
55.98869667120368,42.80372131360947,39.9160459547332,30.637581319995558,68.3714624614424
71.62140051106144,66.78832835343769,71.74789485823896,54.5940265266293,45.44214507402731
19.723645934765806,37.60155216010611,49.083999698977834,57.9181871338085,45.70577283952654
49.03469844292263,32.64684953754336,72.48702488202376,50.04122449709932,43.991689481778074
29.6039205898371,73.0408292668969,19.939940156822388,54.0873505163083,40.852006912652946
49.35211150280856,48.73817112356871,57.48572190771217,50.35358827922112,55.27614412664561
44.63910261738059,45.86973372623118,63.0568451239679,54.252821314180125,63.904278871520404
38.27882529181207,48.352723421445475,39.577978487566526,48.38103824743958,35.993307295457065
39.278066480474415,61.668536530852826,35.454829309464934,53.1588492434187,68.70769599076118
36.43114320643404,63.095962090433446,38.17532480924202,46.267091944613675,65.06200592549057
33.76885328366279,89.31712409856479,48.65801828368386,83.09964171512728,75.40340025523435
55.02395558340121,29.537559524879637,60.55534381858794,34.322033027497994,50.21095854353163
49.72039825331046,48.54630169086029,47.95106076850625,41.41334237309205,38.94933866414271
41.95849634065251,66.03197686338444,29.80731685604302,39.96892062019671,79.94143877822678
